,Cantidad de energía demandada GWh,Cantidad de energía adjudicada GWh,Precio promedio ponderado adjudicado ($/KWh),trms,dias_contrato,dias_antes_inicio,nivel_embalse,ipp,productos,descripcion,cluster
97,59.24,0.05,230.0,3910.64,2915,-104,10059599800.0,153.41,CP-ENIC2022-001-PROD01,SUMINISTRAR ENERGÍA Y POTENCIA PARA ATENDER EL MERCADO REGULADO DURANTE LA VIGENCIA DE TIEMPO COMPRENDIDA ENTRE LAS 00:00 HORAS DEL PRIMERO (01) DE JULIO DE 2022 HASTA LAS 24:00 HORAS DEL TREINTA Y UNO (31) DE DICIEMBRE DE 2029.,0
98,23.06,23.06,264.0,3910.64,2917,-180,9976714800.0,153.41,CP-EEPC2022-001-PROD01,"La EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de mayo del año 2022 al 31 de diciembre del año 2029, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
99,62.49,11.88,250.0,3910.64,2917,-180,9976714800.0,153.41,CP-EEPC2022-001-PROD03,"La EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de mayo del año 2022 al 31 de diciembre del año 2029, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
100,449.25,449.25,248.22,3910.64,2917,-180,9976714800.0,153.41,CP-EEPC2022-001-PROD09,"La EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de mayo del año 2022 al 31 de diciembre del año 2029, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
101,3851.57,3270.05,232.16,3932.4,2186,-85,10125147600.0,153.41,CP-CSSC2022-001-PROD01,Se invita a las empresas interesadas en presentar propuestas para el suministro de la energía eléctrica que Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de mayo de 2022 al 31 de diciembre de 2027.,-1
102,115.15,38.8,282.5,3932.4,2186,-85,10125147600.0,153.41,CP-CSSC2022-001-PROD02,Se invita a las empresas interesadas en presentar propuestas para el suministro de la energía eléctrica que Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de mayo de 2022 al 31 de diciembre de 2027.,0
103,122.0,92.0,243.92,3963.72,4007,-98,10292441500.0,153.41,CP-TPLC2022-001-PROD01,TERPEL ENERGÍA S.A.S. E.S.P. invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de noviembre de 2022 y el 31 de diciembre de 2032.,0
104,70.36,70.36,263.0,3946.88,1670,66,10375138000.0,153.41,CP-GNCC2022-001-PROD01,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 6 de mayo de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
105,224.63,224.63,258.2,3946.88,1670,66,10375138000.0,153.41,CP-GNCC2022-001-PROD02,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 6 de mayo de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
106,163.81,163.81,254.88,3946.88,1670,66,10375138000.0,153.41,CP-GNCC2022-001-PROD03,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 6 de mayo de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
107,192.84,90.0,244.45,3946.88,1670,66,10375138000.0,153.41,CP-GNCC2022-001-PROD04,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 6 de mayo de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
108,89.79,89.79,235.25,3946.88,1670,66,10375138000.0,153.41,CP-GNCC2022-001-PROD05,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 6 de mayo de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
109,175.2,175.2,257.99,3946.88,1670,66,10375138000.0,153.41,CP-GNCC2022-001-PROD06,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 6 de mayo de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
110,212.76,204.95,241.11,3977.51,1825,290,11869000300.0,147.55,CP-CEOC2022-002-PROD01,"CEO invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía del Mercado Regulado, para el período 1 enero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública y especialmente en los productos definidos.",0
111,210.61,210.61,232.95,3977.51,1825,290,11869000300.0,147.55,CP-CEOC2022-002-PROD02,"CEO invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía del Mercado Regulado, para el período 1 enero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública y especialmente en los productos definidos.",0
112,214.07,214.07,218.91,3977.51,1825,290,11869000300.0,147.55,CP-CEOC2022-002-PROD03,"CEO invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía del Mercado Regulado, para el período 1 enero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública y especialmente en los productos definidos.",0
113,212.76,159.51,244.1,3977.51,1825,290,11869000300.0,147.55,CP-CEOC2022-002-PROD06,"CEO invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía del Mercado Regulado, para el período 1 enero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública y especialmente en los productos definidos.",0
114,210.61,210.61,229.95,3977.51,1825,290,11869000300.0,147.55,CP-CEOC2022-002-PROD07,"CEO invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía del Mercado Regulado, para el período 1 enero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública y especialmente en los productos definidos.",0
115,214.07,214.07,216.58,3977.51,1825,290,11869000300.0,147.55,CP-CEOC2022-002-PROD08,"CEO invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía del Mercado Regulado, para el período 1 enero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública y especialmente en los productos definidos.",0
116,217.59,217.59,208.98,3977.51,1825,290,11869000300.0,147.55,CP-CEOC2022-002-PROD09,"CEO invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía del Mercado Regulado, para el período 1 enero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública y especialmente en los productos definidos.",0
117,129.62,129.62,227.57,3993.65,3282,-179,12463374200.0,147.55,CP-CQTC2022-001-PROD03,"COMPRA DEL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA PARA ATENDER EL MERCADO REGULADO DE ELECTROCAQUETÁ SA ESP PARA EL PERÍODO COMPRENDIDO ENTRE EL 1 DE MAYO HASTA EL 31 DE DICIEMBRE DEL AÑO 2023, DEL 1 DE ENERO HASTA EL 31 DE DICIEMBRE DEL AÑO 2026 Y DEL 1 DE ENERO DEL 2028 HASTA EL 31 DE DICIEMBRE DEL 2030.",0
118,127.94,127.94,217.33,3993.65,3282,-179,12463374200.0,147.55,CP-CQTC2022-001-PROD04,"COMPRA DEL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA PARA ATENDER EL MERCADO REGULADO DE ELECTROCAQUETÁ SA ESP PARA EL PERÍODO COMPRENDIDO ENTRE EL 1 DE MAYO HASTA EL 31 DE DICIEMBRE DEL AÑO 2023, DEL 1 DE ENERO HASTA EL 31 DE DICIEMBRE DEL AÑO 2026 Y DEL 1 DE ENERO DEL 2028 HASTA EL 31 DE DICIEMBRE DEL 2030.",0
119,126.88,126.88,216.45,3993.65,3282,-179,12463374200.0,147.55,CP-CQTC2022-001-PROD05,"COMPRA DEL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA PARA ATENDER EL MERCADO REGULADO DE ELECTROCAQUETÁ SA ESP PARA EL PERÍODO COMPRENDIDO ENTRE EL 1 DE MAYO HASTA EL 31 DE DICIEMBRE DEL AÑO 2023, DEL 1 DE ENERO HASTA EL 31 DE DICIEMBRE DEL AÑO 2026 Y DEL 1 DE ENERO DEL 2028 HASTA EL 31 DE DICIEMBRE DEL 2030.",0
120,126.66,126.66,215.98,3993.65,3282,-179,12463374200.0,147.55,CP-CQTC2022-001-PROD06,"COMPRA DEL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA PARA ATENDER EL MERCADO REGULADO DE ELECTROCAQUETÁ SA ESP PARA EL PERÍODO COMPRENDIDO ENTRE EL 1 DE MAYO HASTA EL 31 DE DICIEMBRE DEL AÑO 2023, DEL 1 DE ENERO HASTA EL 31 DE DICIEMBRE DEL AÑO 2026 Y DEL 1 DE ENERO DEL 2028 HASTA EL 31 DE DICIEMBRE DEL 2030.",0
121,48.3,18.15,259.0,3950.4,1091,-43,12639088500.0,147.55,CP-NEUC2022-002-PROD01,NEU ENERGY S.A.S. E.S.P. mediante la presente convocatoria está interesado en contratar el suministro de la energía eléctrica para atender parte de su mercado regulado para el período comprendido entre el 1 de mayo de 2022 y el 31 de diciembre de 2024,0
122,72.0,18.49,253.0,3950.4,1091,-43,12639088500.0,147.55,CP-NEUC2022-002-PROD02,NEU ENERGY S.A.S. E.S.P. mediante la presente convocatoria está interesado en contratar el suministro de la energía eléctrica para atender parte de su mercado regulado para el período comprendido entre el 1 de mayo de 2022 y el 31 de diciembre de 2024,0
123,72.2,72.2,247.38,3950.4,1091,-43,12639088500.0,147.55,CP-NEUC2022-002-PROD03,NEU ENERGY S.A.S. E.S.P. mediante la presente convocatoria está interesado en contratar el suministro de la energía eléctrica para atender parte de su mercado regulado para el período comprendido entre el 1 de mayo de 2022 y el 31 de diciembre de 2024,0
124,568.05,424.23,210.14,4039.31,3768,-51,14085975200.0,166.99,CP-CEOC2022-001-PROD01,"CEO de acuerdo con la Ley 1955 de 2019 en su art. 296, reglamentada a través de la Res. 4-0715 de 2019 del MME, está interesada en recibir Ofertas para la contratación del suministro de energía eléctrica, proveniente de fuentes no convencionales de energía renovable, con destino a atender la demanda regulada.",0
125,1006.46,659.73,237.53,4023.68,5839,-29,13336968300.0,145.69,CP-CNSC2021-004-PROD03,"Producto 1: Mayo 2022 - Diciembre 2037, Producto 2: Mayo - Diciembre 2022 y Producto 3: Enero - Diciembre 2025",0
126,1351.0,379.0,247.98,4004.0,5475,-44,13353191300.0,145.69,CP-CDSC2021-003-PROD02,"CODENSA S.A. ESP invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de abril de 2022 y el 31 de diciembre de 2026, para atender su mercado regulado.",0
127,104.98,27.54,249.67,3997.71,2186,-301,13426854100.0,145.69,CP-EDQC2021-003-PROD03,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de mayo de 2022 y el 31 de diciembre de 2027.",0
128,104.97,18.31,254.5,3997.71,2186,-301,13426854100.0,145.69,CP-EDQC2021-003-PROD04,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de mayo de 2022 y el 31 de diciembre de 2027.",0
129,266.79,266.79,230.75,3997.71,2186,-301,13426854100.0,145.69,CP-EDQC2021-003-PROD06,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de mayo de 2022 y el 31 de diciembre de 2027.",0
130,2842.71,959.42,234.39,4002.12,3681,31,13463957500.0,145.69,CP-CSSC2021-005-PROD01,Se invita a las empresas interesadas en presentar propuestas para el suministro de la energía eléctrica que Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 03 de marzo de 2022 al 31 de marzo de 2032.,0
131,1276.1,984.05,230.98,3765.8,3649,-21,14484441900.0,139.63,CP-HLAC2021-003-PROD01,Suministro de energía y potencia asociada con destino al mercado regulado de ELECTROHUILA S.A. E.S.P. para el periodo comprendido entre enero 01 de marzo de 2022 al 31 de diciembre de 2031.,0
132,988.37,823.59,213.59,3765.8,3649,-21,14484441900.0,139.63,CP-HLAC2021-003-PROD02,Suministro de energía y potencia asociada con destino al mercado regulado de ELECTROHUILA S.A. E.S.P. para el periodo comprendido entre enero 01 de marzo de 2022 al 31 de diciembre de 2031.,0
133,1607.72,883.9,213.95,3765.8,3649,-21,14484441900.0,139.63,CP-HLAC2021-003-PROD03,Suministro de energía y potencia asociada con destino al mercado regulado de ELECTROHUILA S.A. E.S.P. para el periodo comprendido entre enero 01 de marzo de 2022 al 31 de diciembre de 2031.,0
134,501.46,439.71,238.93,3765.8,2556,338,14484441900.0,139.63,CP-EPTC2021-001-PROD01,Suministro de energía y potencia asociada con destino al mercado regulado de la Empresa de Energía del Putumayo S.A. E.S.P. para el periodo comprendido entre enero 01 de 2023 a diciembre 31 de 2029,0
135,305.31,81.25,246.0,3888.53,1824,3,14186142500.0,142.86,CP-GNCC2021-005-PROD01,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 1 de febrero de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
136,96.16,69.5,212.42,3888.53,1824,3,14186142500.0,142.86,CP-GNCC2021-005-PROD05,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 1 de febrero de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
137,184.37,167.0,245.77,3888.53,1824,3,14186142500.0,142.86,CP-GNCC2021-005-PROD06,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 1 de febrero de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
138,43.8,43.8,209.0,3888.53,1824,3,14186142500.0,142.86,CP-GNCC2021-005-PROD10,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 1 de febrero de 2022 o fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.,0
139,453.63,369.14,229.4,3874.41,4015,4,14496220600.0,139.63,CP-CDNC2021-003-PROD06,CEDENAR S.A. E.S.P. está interesado en recibir ofertas para comprar energía eléctrica con el fin de atender la demanda de su mercado regulado actual y potencial para el periodo comprendido entre el 01 de marzo de 2022 a 31 de diciembre de 2032,0
140,453.63,369.14,229.4,3765.8,4015,4,14496220600.0,139.63,CP-CDNC2021-003-PROD06,CEDENAR S.A. E.S.P. está interesado en recibir ofertas para comprar energía eléctrica con el fin de atender la demanda de su mercado regulado actual y potencial para el periodo comprendido entre el 01 de marzo de 2022 a 31 de diciembre de 2032,0
141,55.65,55.65,259.9,3769.98,729,111,14107960600.0,140.81,CP-EEPC2021-005-PROD01,"La EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de enero del año 2022 al 31 de diciembre del año 2023, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
142,32.06,32.06,258.75,3769.98,729,111,14107960600.0,140.81,CP-EEPC2021-005-PROD03,"La EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de enero del año 2022 al 31 de diciembre del año 2023, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
143,667.16,667.16,236.09,3780.38,4381,17,14044933900.0,140.81,CP-TENC2021-001-PROD01,"Transacciones Energéticas S.A.S. Empresa de Servicios Públicos E.S.P. filial del Grupo Éxito, invita a las empresas interesadas en presentar ofertas para el suministro de la energía que requiere para atender parte de la demanda de su Mercado Regulado durante el periodo entre el 01-02-2022 y el 31-12-2033.",0
144,158.0,3.0,266.0,3770.58,2188,12,14112309200.0,140.81,CP-CHCC2021-003-PROD01,El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado para los períodos comprendidos entre el 1 de marzo de 2022 al 31 de diciembre de 2022 y 1 de enero de 2025 al 31 de diciembre de 2027.,0
145,201.0,201.0,229.0,3770.58,2188,12,14112309200.0,140.81,CP-CHCC2021-003-PROD02,El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado para los períodos comprendidos entre el 1 de marzo de 2022 al 31 de diciembre de 2022 y 1 de enero de 2025 al 31 de diciembre de 2027.,0
146,292.0,292.0,216.0,3770.58,2188,12,14112309200.0,140.81,CP-CHCC2021-003-PROD03,El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado para los períodos comprendidos entre el 1 de marzo de 2022 al 31 de diciembre de 2022 y 1 de enero de 2025 al 31 de diciembre de 2027.,0
154,54.84,54.84,244.99,3786.05,2556,44,12248057200.0,132.98,CP-CQTC2021-003-PROD01,"SUMINISTRO DE ENERGIA ELÉCTRICA PARA ATENDER EL MERCADO REGULADO DE ELECTROCAQUETÁ, PARA EL PERÍODO COMPRENDIDO ENTRE LAS 00:00 HORAS DEL DÍA 1 DE ENERO DEL 2022 HASTA LAS 11:59 PM DEL DÍA 31 DE DICIEMBRE DEL 2023 Y DESDE LAS 00:00 HORAS DEL DÍA 1 DE ENERO DEL 2026 HASTA LAS 11:59 PM DEL DÍA 31 DE DICIEMBRE DEL 2028.",0
155,13.67,13.67,244.0,3786.05,2556,44,12248057200.0,132.98,CP-CQTC2021-003-PROD03,"SUMINISTRO DE ENERGIA ELÉCTRICA PARA ATENDER EL MERCADO REGULADO DE ELECTROCAQUETÁ, PARA EL PERÍODO COMPRENDIDO ENTRE LAS 00:00 HORAS DEL DÍA 1 DE ENERO DEL 2022 HASTA LAS 11:59 PM DEL DÍA 31 DE DICIEMBRE DEL 2023 Y DESDE LAS 00:00 HORAS DEL DÍA 1 DE ENERO DEL 2026 HASTA LAS 11:59 PM DEL DÍA 31 DE DICIEMBRE DEL 2028.",0
156,127.23,127.23,206.49,3786.05,2556,44,12248057200.0,132.98,CP-CQTC2021-003-PROD06,"SUMINISTRO DE ENERGIA ELÉCTRICA PARA ATENDER EL MERCADO REGULADO DE ELECTROCAQUETÁ, PARA EL PERÍODO COMPRENDIDO ENTRE LAS 00:00 HORAS DEL DÍA 1 DE ENERO DEL 2022 HASTA LAS 11:59 PM DEL DÍA 31 DE DICIEMBRE DEL 2023 Y DESDE LAS 00:00 HORAS DEL DÍA 1 DE ENERO DEL 2026 HASTA LAS 11:59 PM DEL DÍA 31 DE DICIEMBRE DEL 2028.",0
157,976.0,0.4,230.0,3812.77,1095,43,11961274700.0,124.38,CP-CSSC2021-004-PROD01,Air-e invita a las empresas interesadas en presentar propuestas para el suministro de la energía que requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 1 de enero de 2022 al 31 de diciembre de 2024. Esta energía eléctrica involucra la potencia eléctrica asociada,0
158,320.13,80.09,249.0,3837.91,2189,45,14218484700.0,139.63,CP-ESSC2021-003-PROD01,"ESSA está interesada en recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender su mercado regulado, bajo la modalidad páguelo contratado, para la vigencia del 1 de febrero de 2022 al 31 de diciembre de 2027.",0
159,818.4,818.4,224.05,3830.83,3651,324,14388121900.0,139.63,CP-EGVC2021-002-PROD01,SUMINISTRO DE ENERGÍA CON DESTINO AL MERCADO REGULADO DE ENERGUAVIARE PARA EL PERIODO 01 DE ENERO DE 2021 A 31 DE DICIEMBRE DE 2031.,0
160,9.36,4.6,248.42,3812.76,364,65,14138586000.0,138.22,CP-NMRC2021-001-PROD02,"ENERMAS S.A.S. E.S.P solicita propuesta para contratar el suministro de energía y potencia para atender su Mercado Regulado, se recibirán ofertas en la modalidad pague lo contratado, para el periodo del 1 de enero de 2022 al 31 de diciembre de 2022.",0
161,77.3,8.5,190.0,3806.87,2544,-276,14616606000.0,138.22,CP-CMMC2021-003-PROD01,"Caribemar de la Costa solicita energía para atender parte de la demanda de su mercado regulado, durante el periodo comprendido entre 1 de diciembre de 2021 hasta 31 de diciembre 2027",0
162,744.07,322.9,252.39,3806.87,2544,-276,14616606000.0,138.22,CP-CMMC2021-003-PROD02,"Caribemar de la Costa solicita energía para atender parte de la demanda de su mercado regulado, durante el periodo comprendido entre 1 de diciembre de 2021 hasta 31 de diciembre 2027",0
163,3021.98,1530.1,210.76,3806.87,2544,-276,14616606000.0,138.22,CP-CMMC2021-003-PROD03,"Caribemar de la Costa solicita energía para atender parte de la demanda de su mercado regulado, durante el periodo comprendido entre 1 de diciembre de 2021 hasta 31 de diciembre 2027",-1
164,306.6,71.5,249.96,3806.87,2544,-276,14616606000.0,138.22,CP-CMMC2021-003-PROD04,"Caribemar de la Costa solicita energía para atender parte de la demanda de su mercado regulado, durante el periodo comprendido entre 1 de diciembre de 2021 hasta 31 de diciembre 2027",0
165,1533.84,1231.0,222.82,3806.87,2544,-276,14616606000.0,138.22,CP-CMMC2021-003-PROD05,"Caribemar de la Costa solicita energía para atender parte de la demanda de su mercado regulado, durante el periodo comprendido entre 1 de diciembre de 2021 hasta 31 de diciembre 2027",-1
166,13.06,13.06,261.16,3774.0,364,72,11950118500.0,124.38,CP-EVSC2021-002-PROD01,Compra de la energía eléctrica que requiere la empresa de energía del valle de Sibundoy EMEVASI S.A. E.S.P. para atender la demanda de su mercado regulado para el periodo comprendido entre el primero (1) de enero y el treinta y uno (31) de diciembre del año 2022.,0
167,840.0,489.0,258.0,3913.59,2190,100,10038456300.0,131.18,CP-EPMC2021-002-PROD01,"Recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2022 al 31 de diciembre de 2027.",0
168,600.0,109.0,249.0,3913.59,2190,100,10038456300.0,131.18,CP-EPMC2021-002-PROD02,"Recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2022 al 31 de diciembre de 2027.",0
169,330.0,291.0,236.0,3913.59,2190,100,10038456300.0,131.18,CP-EPMC2021-002-PROD03,"Recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2022 al 31 de diciembre de 2027.",0
170,243.0,243.0,203.0,3913.59,2190,100,10038456300.0,131.18,CP-EPMC2021-002-PROD06,"Recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2022 al 31 de diciembre de 2027.",0
171,36.6,33.29,196.58,3874.44,2090,-151,14515413500.0,136.95,CP-GNCC2021-003-PROD01,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 4 de noviembre de 2021 hasta las 24:00 del día 31 de diciembre de 2026.,0
172,136.0,35.7,218.6,3874.44,2090,-151,14515413500.0,136.95,CP-GNCC2021-003-PROD05,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 4 de noviembre de 2021 hasta las 24:00 del día 31 de diciembre de 2026.,0
173,96.16,36.54,210.9,3874.44,2090,-151,14515413500.0,136.95,CP-GNCC2021-003-PROD06,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 4 de noviembre de 2021 hasta las 24:00 del día 31 de diciembre de 2026.,0
174,5.47,5.47,192.24,3874.44,2090,-151,14515413500.0,136.95,CP-GNCC2021-003-PROD07,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 4 de noviembre de 2021 hasta las 24:00 del día 31 de diciembre de 2026.,0
175,119.48,118.06,239.77,3874.44,2090,-151,14515413500.0,136.95,CP-GNCC2021-003-PROD08,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 4 de noviembre de 2021 hasta las 24:00 del día 31 de diciembre de 2026.,0
176,36.94,2.67,248.0,3809.07,1095,326,14245217000.0,136.95,CP-EEPC2021-003-PROD01,"La EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de enero del año 2022 al 31 de diciembre del año 2024, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
177,61.22,28.65,232.0,3809.07,1095,326,14245217000.0,136.95,CP-EEPC2021-003-PROD02,"La EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de enero del año 2022 al 31 de diciembre del año 2024, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
178,27.94,27.43,223.33,3809.07,1095,326,14245217000.0,136.95,CP-EEPC2021-003-PROD03,"La EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de enero del año 2022 al 31 de diciembre del año 2024, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
179,281.0,219.0,257.04,3824.08,729,326,14223839700.0,136.95,CP-CNSC2021-003-PROD01,Producto 1: Enero - Diciembre 2022 y Producto 2 Enero - Diciembre 2023,0
183,1051.68,876.48,226.44,3756.67,2190,131,14217436300.0,136.23,CP-ESSC2021-002-PROD02,"Recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de ESSA, incluyendo las perdidas correspondientes en el Sistema de Transmisión Nacional, bajo la modalidad pague lo contratado, para el periodo 1 de enero de 2022 al 31 de diciembre de 2027.",0
184,3692.0,0.88,255.9,3589.86,5478,207,14297406100.0,142.86,CP-CDSC2021-002-PROD02,"CODENSA S.A. ESP invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de enero de 2022 y el 31 de diciembre de 2036, para atender su mercado regulado.",-1
185,319.44,266.59,190.85,3657.41,2182,-119,10018197100.0,131.18,CP-CSSC2021-003-PROD01,Se solicita el suministro de la energía eléctrica que AIR-E requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 1 de septiembre de 2021 al 31 de diciembre de 2026. Esta energía eléctrica involucra la potencia eléctrica asociada.,0
