,Productos,Cantidad de energía demandada GWh,Cantidad de energía adjudicada GWh,Precio promedio ponderado adjudicado ($/KWh),periodo_inicio,periodo_fin,descripcion,union,CodigoConvocatoria,CodigoSicAgente,NombreAgenteComprador,FechaPublicacionAviso,PeriodoAContratar,FechaInicio,FechaFin,DuracionDias,meses,FechaPliegosParaConsulta,FechaPliegosDefinitivos,FechaLimiteRecepcionOfertas,AudienciaPublica,FechaMaximaFormalizacionContratos,Estado,TipoMercado,ExclusivaFNCER,FechaSuspension,FechaReactivacion,FechaCancelacion,FechaCierreConvocatoria
99,CP-CSSC2024-001-PROD02,87.0,87.0,376.0,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
100,CP-CSSC2024-001-PROD03,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
101,CP-CSSC2024-001-PROD04,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
102,CP-CSSC2024-001-PROD05,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
103,CP-CSSC2024-001-PROD06,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
104,CP-CSSC2024-001-PROD07,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
105,CP-CSSC2024-001-PROD08,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
106,CP-CSSC2024-001-PROD09,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
107,CP-CSSC2024-001-PROD10,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
108,CP-CSSC2024-001-PROD11,4648.0,4565.0,304.0,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
109,CP-CSSC2024-001-PROD12,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
110,CP-CSSC2024-001-PROD13,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
111,CP-CSSC2024-001-PROD14,,,,08/04/2024,31/12/2037,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2037.,CP-CSSC2024-001/Air-e/CSSC/08%2F04%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-001,CSSC,Air-e,19/02/2024,08/04/2024 al 31/12/2037,08/04/2024,31/12/2037,5015.0,164.87671232876713,19/02/2024,29/02/2024,07/03/2024,20/03/2024,09/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
112,CP-QIEC2024-001-PROD01,1397.0,1074.0,307.0,08/04/2024,31/12/2032,Producto1 PLC vigencia 2024 al 2032 y Producto 2 PLC 2025 al 2026,CP-QIEC2024-001/QI ENERGY/QIEC/08%2F04%2F2024/31%2F12%2F2032/false/Regulado,CP-QIEC2024-001,QIEC,QI ENERGY,19/02/2024,08/04/2024 al 31/12/2032,08/04/2024,31/12/2032,3189.0,104.84383561643835,19/02/2024,27/02/2024,12/03/2024,20/03/2024,05/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
113,CP-QIEC2024-001-PROD02,87.0,87.0,355.0,08/04/2024,31/12/2032,Producto1 PLC vigencia 2024 al 2032 y Producto 2 PLC 2025 al 2026,CP-QIEC2024-001/QI ENERGY/QIEC/08%2F04%2F2024/31%2F12%2F2032/false/Regulado,CP-QIEC2024-001,QIEC,QI ENERGY,19/02/2024,08/04/2024 al 31/12/2032,08/04/2024,31/12/2032,3189.0,104.84383561643835,19/02/2024,27/02/2024,12/03/2024,20/03/2024,05/04/2024,Cerrada y adjudicada,Regulado,NO,,,,16/04/2024
114,CP-EDQC2024-001-PROD01,0.0,0.0,0.0,01/07/2024,31/12/2030,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de Julio y 31 de diciembre de 2024 y entre el 01 de enero de 2026 y 31 de diciembre de 2030.",CP-EDQC2024-001/EDEQ/EDQC/01%2F07%2F2024/31%2F12%2F2030/false/Regulado,CP-EDQC2024-001,EDQC,EDEQ,08/02/2024,01/07/2024 al 31/12/2030,01/07/2024,31/12/2030,2374.0,78.04931506849314,09/02/2024,20/02/2024,01/03/2024,14/03/2024,04/04/2024,Cerrada y adjudicada,Regulado,NO,,,,15/04/2024
115,CP-EDQC2024-001-PROD02,50.0,0.0,0.0,01/07/2024,31/12/2030,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de Julio y 31 de diciembre de 2024 y entre el 01 de enero de 2026 y 31 de diciembre de 2030.",CP-EDQC2024-001/EDEQ/EDQC/01%2F07%2F2024/31%2F12%2F2030/false/Regulado,CP-EDQC2024-001,EDQC,EDEQ,08/02/2024,01/07/2024 al 31/12/2030,01/07/2024,31/12/2030,2374.0,78.04931506849314,09/02/2024,20/02/2024,01/03/2024,14/03/2024,04/04/2024,Cerrada y adjudicada,Regulado,NO,,,,15/04/2024
116,CP-EDQC2024-001-PROD03,37.0,37.0,298.0,01/07/2024,31/12/2030,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de Julio y 31 de diciembre de 2024 y entre el 01 de enero de 2026 y 31 de diciembre de 2030.",CP-EDQC2024-001/EDEQ/EDQC/01%2F07%2F2024/31%2F12%2F2030/false/Regulado,CP-EDQC2024-001,EDQC,EDEQ,08/02/2024,01/07/2024 al 31/12/2030,01/07/2024,31/12/2030,2374.0,78.04931506849314,09/02/2024,20/02/2024,01/03/2024,14/03/2024,04/04/2024,Cerrada y adjudicada,Regulado,NO,,,,15/04/2024
117,CP-EDQC2024-001-PROD04,156.0,0.0,0.0,01/07/2024,31/12/2030,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de Julio y 31 de diciembre de 2024 y entre el 01 de enero de 2026 y 31 de diciembre de 2030.",CP-EDQC2024-001/EDEQ/EDQC/01%2F07%2F2024/31%2F12%2F2030/false/Regulado,CP-EDQC2024-001,EDQC,EDEQ,08/02/2024,01/07/2024 al 31/12/2030,01/07/2024,31/12/2030,2374.0,78.04931506849314,09/02/2024,20/02/2024,01/03/2024,14/03/2024,04/04/2024,Cerrada y adjudicada,Regulado,NO,,,,15/04/2024
118,CP-EEPC2024-002-PROD01,,,,01/04/2024,31/12/2027,"EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de abril del año 2024 al 31 de diciembre del año 2027, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",CP-EEPC2024-002/EEP/EEPC/01%2F04%2F2024/31%2F12%2F2027/false/Regulado,CP-EEPC2024-002,EEPC,EEP,05/02/2024,01/04/2024 al 31/12/2027,01/04/2024,31/12/2027,1369.0,45.00821917808219,05/02/2024,14/02/2024,27/02/2024,08/03/2024,01/04/2024,Cerrada y adjudicada,Regulado,NO,,,,02/04/2024
119,CP-EEPC2024-002-PROD02,9.0,9.0,387.0,01/04/2024,31/12/2027,"EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de abril del año 2024 al 31 de diciembre del año 2027, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",CP-EEPC2024-002/EEP/EEPC/01%2F04%2F2024/31%2F12%2F2027/false/Regulado,CP-EEPC2024-002,EEPC,EEP,05/02/2024,01/04/2024 al 31/12/2027,01/04/2024,31/12/2027,1369.0,45.00821917808219,05/02/2024,14/02/2024,27/02/2024,08/03/2024,01/04/2024,Cerrada y adjudicada,Regulado,NO,,,,02/04/2024
120,CP-EEPC2024-002-PROD03,66.0,66.0,318.0,01/04/2024,31/12/2027,"EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de abril del año 2024 al 31 de diciembre del año 2027, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",CP-EEPC2024-002/EEP/EEPC/01%2F04%2F2024/31%2F12%2F2027/false/Regulado,CP-EEPC2024-002,EEPC,EEP,05/02/2024,01/04/2024 al 31/12/2027,01/04/2024,31/12/2027,1369.0,45.00821917808219,05/02/2024,14/02/2024,27/02/2024,08/03/2024,01/04/2024,Cerrada y adjudicada,Regulado,NO,,,,02/04/2024
121,CP-EEPC2024-002-PROD04,64.0,64.0,315.0,01/04/2024,31/12/2027,"EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de abril del año 2024 al 31 de diciembre del año 2027, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",CP-EEPC2024-002/EEP/EEPC/01%2F04%2F2024/31%2F12%2F2027/false/Regulado,CP-EEPC2024-002,EEPC,EEP,05/02/2024,01/04/2024 al 31/12/2027,01/04/2024,31/12/2027,1369.0,45.00821917808219,05/02/2024,14/02/2024,27/02/2024,08/03/2024,01/04/2024,Cerrada y adjudicada,Regulado,NO,,,,02/04/2024
122,CP-CMXC2024-001-PROD01,,,,01/06/2024,31/05/2034,Compra del suministro de energía proveniente de fuentes no convencionales de energía renovable con destino al mercado no regulado de CEMEX ENERGY S.A.S. desde el primero de junio de 2024 hasta el 31 de mayo del 2034.,CP-CMXC2024-001/CEMEX ENERGY/CMXC/01%2F06%2F2024/31%2F05%2F2034/false/No Regulado,CP-CMXC2024-001,CMXC,CEMEX ENERGY,22/01/2024,01/06/2024 al 31/05/2034,01/06/2024,31/05/2034,3651.0,120.03287671232877,22/01/2024,12/02/2024,11/03/2024,22/03/2024,11/04/2024,Cerrada y adjudicada,No Regulado,SI,,,,18/04/2024
123,CP-CMXC2024-001-PROD02,,,,01/06/2024,31/05/2034,Compra del suministro de energía proveniente de fuentes no convencionales de energía renovable con destino al mercado no regulado de CEMEX ENERGY S.A.S. desde el primero de junio de 2024 hasta el 31 de mayo del 2034.,CP-CMXC2024-001/CEMEX ENERGY/CMXC/01%2F06%2F2024/31%2F05%2F2034/false/No Regulado,CP-CMXC2024-001,CMXC,CEMEX ENERGY,22/01/2024,01/06/2024 al 31/05/2034,01/06/2024,31/05/2034,3651.0,120.03287671232877,22/01/2024,12/02/2024,11/03/2024,22/03/2024,11/04/2024,Cerrada y adjudicada,No Regulado,SI,,,,18/04/2024
124,CP-CMXC2024-001-PROD03,175.0,94.0,270.0,01/06/2024,31/05/2034,Compra del suministro de energía proveniente de fuentes no convencionales de energía renovable con destino al mercado no regulado de CEMEX ENERGY S.A.S. desde el primero de junio de 2024 hasta el 31 de mayo del 2034.,CP-CMXC2024-001/CEMEX ENERGY/CMXC/01%2F06%2F2024/31%2F05%2F2034/false/No Regulado,CP-CMXC2024-001,CMXC,CEMEX ENERGY,22/01/2024,01/06/2024 al 31/05/2034,01/06/2024,31/05/2034,3651.0,120.03287671232877,22/01/2024,12/02/2024,11/03/2024,22/03/2024,11/04/2024,Cerrada y adjudicada,No Regulado,SI,,,,18/04/2024
125,CP-RTQC2023-005-PROD01,,,,04/04/2024,31/12/2027,RUITOQUE S.A E.S.P. requiere contratar el suministro de energía para atender su demanda regulada durante el periodo comprendido entre el 04 de abril de 2024 al 31 de diciembre de 2027,CP-RTQC2023-005/RUITOQUE/RTQC/04%2F04%2F2024/31%2F12%2F2027/false/Regulado,CP-RTQC2023-005,RTQC,RUITOQUE,29/12/2023,04/04/2024 al 31/12/2027,04/04/2024,31/12/2027,1366.0,44.90958904109589,29/12/2023,22/01/2024,19/02/2024,01/03/2024,21/03/2024,Cerrada y adjudicada,Regulado,NO,,,,04/04/2024
126,CP-RTQC2023-005-PROD02,172.0,10.0,330.0,04/04/2024,31/12/2027,RUITOQUE S.A E.S.P. requiere contratar el suministro de energía para atender su demanda regulada durante el periodo comprendido entre el 04 de abril de 2024 al 31 de diciembre de 2027,CP-RTQC2023-005/RUITOQUE/RTQC/04%2F04%2F2024/31%2F12%2F2027/false/Regulado,CP-RTQC2023-005,RTQC,RUITOQUE,29/12/2023,04/04/2024 al 31/12/2027,04/04/2024,31/12/2027,1366.0,44.90958904109589,29/12/2023,22/01/2024,19/02/2024,01/03/2024,21/03/2024,Cerrada y adjudicada,Regulado,NO,,,,04/04/2024
127,CP-HLAC2023-004-PROD01,45.0,42.0,420.0,01/04/2024,31/12/2025,Suministro de energía y potencia asociada con destino al mercado regulado de ELECTROHUILA SA ESP para el período comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2025,CP-HLAC2023-004/ELECTROHUILA/HLAC/01%2F04%2F2024/31%2F12%2F2025/false/Regulado,CP-HLAC2023-004,HLAC,ELECTROHUILA,28/12/2023,01/04/2024 al 31/12/2025,01/04/2024,31/12/2025,639.0,21.008219178082193,28/12/2023,11/01/2024,08/02/2024,21/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,26/03/2024
128,CP-HLAC2023-004-PROD02,135.0,51.0,375.0,01/04/2024,31/12/2025,Suministro de energía y potencia asociada con destino al mercado regulado de ELECTROHUILA SA ESP para el período comprendido entre el 01 de abril de 2024 al 31 de diciembre de 2025,CP-HLAC2023-004/ELECTROHUILA/HLAC/01%2F04%2F2024/31%2F12%2F2025/false/Regulado,CP-HLAC2023-004,HLAC,ELECTROHUILA,28/12/2023,01/04/2024 al 31/12/2025,01/04/2024,31/12/2025,639.0,21.008219178082193,28/12/2023,11/01/2024,08/02/2024,21/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,26/03/2024
129,CP-CSSC2023-004-PROD01,827.0,827.0,689.0,01/03/2024,31/12/2026,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de marzo de 2024 al 31 de diciembre de 2026.,CP-CSSC2023-004/Air-e/CSSC/01%2F03%2F2024/31%2F12%2F2026/false/Regulado,CP-CSSC2023-004,CSSC,Air-e,22/12/2023,01/03/2024 al 31/12/2026,01/03/2024,31/12/2026,1035.0,34.02739726027397,22/12/2023,03/01/2024,01/02/2024,14/02/2024,18/02/2024,Cerrada y adjudicada,Regulado,NO,,,,01/03/2024
130,CP-CSSC2023-004-PROD02,,,,01/03/2024,31/12/2026,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de marzo de 2024 al 31 de diciembre de 2026.,CP-CSSC2023-004/Air-e/CSSC/01%2F03%2F2024/31%2F12%2F2026/false/Regulado,CP-CSSC2023-004,CSSC,Air-e,22/12/2023,01/03/2024 al 31/12/2026,01/03/2024,31/12/2026,1035.0,34.02739726027397,22/12/2023,03/01/2024,01/02/2024,14/02/2024,18/02/2024,Cerrada y adjudicada,Regulado,NO,,,,01/03/2024
131,CP-CSSC2023-004-PROD03,,,,01/03/2024,31/12/2026,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de marzo de 2024 al 31 de diciembre de 2026.,CP-CSSC2023-004/Air-e/CSSC/01%2F03%2F2024/31%2F12%2F2026/false/Regulado,CP-CSSC2023-004,CSSC,Air-e,22/12/2023,01/03/2024 al 31/12/2026,01/03/2024,31/12/2026,1035.0,34.02739726027397,22/12/2023,03/01/2024,01/02/2024,14/02/2024,18/02/2024,Cerrada y adjudicada,Regulado,NO,,,,01/03/2024
132,CP-CSSC2023-004-PROD04,,,,01/03/2024,31/12/2026,Air-e requiere para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de marzo de 2024 al 31 de diciembre de 2026.,CP-CSSC2023-004/Air-e/CSSC/01%2F03%2F2024/31%2F12%2F2026/false/Regulado,CP-CSSC2023-004,CSSC,Air-e,22/12/2023,01/03/2024 al 31/12/2026,01/03/2024,31/12/2026,1035.0,34.02739726027397,22/12/2023,03/01/2024,01/02/2024,14/02/2024,18/02/2024,Cerrada y adjudicada,Regulado,NO,,,,01/03/2024
133,CP-CHCC2023-003-PROD01,122.0,0.0,0.0,01/05/2024,31/12/2030,"El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, para los períodos comprendidos entre el 01 de mayo del 2024 al 31 de diciembre del 2030, teniendo en cuenta los productos que se definen en este pliego.",CP-CHCC2023-003/CHEC/CHCC/01%2F05%2F2024/31%2F12%2F2030/false/Regulado,CP-CHCC2023-003,CHCC,CHEC,20/12/2023,01/05/2024 al 31/12/2030,01/05/2024,31/12/2030,2435.0,80.05479452054794,21/12/2023,04/01/2024,15/02/2024,28/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,21/03/2024
134,CP-CHCC2023-003-PROD02,337.0,118.0,363.0,01/05/2024,31/12/2030,"El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, para los períodos comprendidos entre el 01 de mayo del 2024 al 31 de diciembre del 2030, teniendo en cuenta los productos que se definen en este pliego.",CP-CHCC2023-003/CHEC/CHCC/01%2F05%2F2024/31%2F12%2F2030/false/Regulado,CP-CHCC2023-003,CHCC,CHEC,20/12/2023,01/05/2024 al 31/12/2030,01/05/2024,31/12/2030,2435.0,80.05479452054794,21/12/2023,04/01/2024,15/02/2024,28/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,21/03/2024
135,CP-CHCC2023-003-PROD03,366.0,303.0,332.0,01/05/2024,31/12/2030,"El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, para los períodos comprendidos entre el 01 de mayo del 2024 al 31 de diciembre del 2030, teniendo en cuenta los productos que se definen en este pliego.",CP-CHCC2023-003/CHEC/CHCC/01%2F05%2F2024/31%2F12%2F2030/false/Regulado,CP-CHCC2023-003,CHCC,CHEC,20/12/2023,01/05/2024 al 31/12/2030,01/05/2024,31/12/2030,2435.0,80.05479452054794,21/12/2023,04/01/2024,15/02/2024,28/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,21/03/2024
136,CP-CHCC2023-003-PROD04,482.0,102.0,314.0,01/05/2024,31/12/2030,"El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, para los períodos comprendidos entre el 01 de mayo del 2024 al 31 de diciembre del 2030, teniendo en cuenta los productos que se definen en este pliego.",CP-CHCC2023-003/CHEC/CHCC/01%2F05%2F2024/31%2F12%2F2030/false/Regulado,CP-CHCC2023-003,CHCC,CHEC,20/12/2023,01/05/2024 al 31/12/2030,01/05/2024,31/12/2030,2435.0,80.05479452054794,21/12/2023,04/01/2024,15/02/2024,28/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,21/03/2024
137,CP-CHCC2023-003-PROD05,289.0,0.0,0.0,01/05/2024,31/12/2030,"El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, para los períodos comprendidos entre el 01 de mayo del 2024 al 31 de diciembre del 2030, teniendo en cuenta los productos que se definen en este pliego.",CP-CHCC2023-003/CHEC/CHCC/01%2F05%2F2024/31%2F12%2F2030/false/Regulado,CP-CHCC2023-003,CHCC,CHEC,20/12/2023,01/05/2024 al 31/12/2030,01/05/2024,31/12/2030,2435.0,80.05479452054794,21/12/2023,04/01/2024,15/02/2024,28/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,21/03/2024
138,CP-CHCC2023-003-PROD06,260.0,0.0,0.0,01/05/2024,31/12/2030,"El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, para los períodos comprendidos entre el 01 de mayo del 2024 al 31 de diciembre del 2030, teniendo en cuenta los productos que se definen en este pliego.",CP-CHCC2023-003/CHEC/CHCC/01%2F05%2F2024/31%2F12%2F2030/false/Regulado,CP-CHCC2023-003,CHCC,CHEC,20/12/2023,01/05/2024 al 31/12/2030,01/05/2024,31/12/2030,2435.0,80.05479452054794,21/12/2023,04/01/2024,15/02/2024,28/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,21/03/2024
139,CP-CHCC2023-003-PROD07,329.0,0.0,0.0,01/05/2024,31/12/2030,"El objeto es recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, para los períodos comprendidos entre el 01 de mayo del 2024 al 31 de diciembre del 2030, teniendo en cuenta los productos que se definen en este pliego.",CP-CHCC2023-003/CHEC/CHCC/01%2F05%2F2024/31%2F12%2F2030/false/Regulado,CP-CHCC2023-003,CHCC,CHEC,20/12/2023,01/05/2024 al 31/12/2030,01/05/2024,31/12/2030,2435.0,80.05479452054794,21/12/2023,04/01/2024,15/02/2024,28/02/2024,13/03/2024,Cerrada y adjudicada,Regulado,NO,,,,21/03/2024
140,CP-EPSC2023-003-PROD01,568.0,0.0,0.0,01/01/2025,31/12/2029,"Suministro de energía y potencia eléctrica, en el período comprendido entre el 1 de enero del año 2025 al 31 de diciembre del año 2029 para atender su mercado regulado.",CP-EPSC2023-003/CELSIA Colombia/EPSC/01%2F01%2F2025/31%2F12%2F2029/false/Regulado,CP-EPSC2023-003,EPSC,CELSIA Colombia,19/12/2023,01/01/2025 al 31/12/2029,01/01/2025,31/12/2029,1825.0,60.0,20/12/2023,15/01/2024,12/02/2024,22/02/2024,11/03/2024,Cerrada y adjudicada,Regulado,NO,,,,18/03/2024
141,CP-EPSC2023-003-PROD02,798.0,561.0,319.0,01/01/2025,31/12/2029,"Suministro de energía y potencia eléctrica, en el período comprendido entre el 1 de enero del año 2025 al 31 de diciembre del año 2029 para atender su mercado regulado.",CP-EPSC2023-003/CELSIA Colombia/EPSC/01%2F01%2F2025/31%2F12%2F2029/false/Regulado,CP-EPSC2023-003,EPSC,CELSIA Colombia,19/12/2023,01/01/2025 al 31/12/2029,01/01/2025,31/12/2029,1825.0,60.0,20/12/2023,15/01/2024,12/02/2024,22/02/2024,11/03/2024,Cerrada y adjudicada,Regulado,NO,,,,18/03/2024
